"Country/Region","Total_Confirmed","Total_Deaths","Total_Recovered"
"US",224345948,11011411,56353416
"Brazil",89524967,3938034,54492873
"Russia",45408411,619385,25120448
"India",40883464,1111831,23783720
"Spain",27404045,3033030,15093583
"United Kingdom",26748587,3997775,126217
"Italy",26745145,3707717,15673910
"France",21210926,3048524,7182115
"Germany",21059152,871322,17107839
"Iran",19339267,1024136,15200895
